name,boss_num,prog_time,guild_name
The Council of Blood,6,7.43352,CMT
Sludgefist,7,9.6734,CMT
Stone Legion Generals,8,23.64919,CMT
Sire Denathrius,9,39.84437,CMT
Shriekwing,0,0.10401,Chip Dipsters
Huntsman Altimor,1,0.41533,Chip Dipsters
Hungering Destroyer,2,2.63082,Chip Dipsters
Sun King's Salvation,3,7.89356,Chip Dipsters
Shriekwing,0,0.44656,Now Loading
Huntsman Altimor,1,1.00479,Now Loading
Hungering Destroyer,2,0.7804,Now Loading
Sun King's Salvation,3,1.94437,Now Loading
Artificer Xy'mox,4,0.02291,Now Loading
Lady Inerva Darkvein,5,1.63888,Now Loading
Shriekwing,0,0.06404,Aeternus
Huntsman Altimor,1,0.07085,Aeternus
Hungering Destroyer,2,0.49947,Aeternus
Sun King's Salvation,3,0.81461,Aeternus
Artificer Xy'mox,4,0.89286,Aeternus
Lady Inerva Darkvein,5,0.58858,Aeternus
The Council of Blood,6,9.68494,Aeternus
Sludgefist,7,10.63088,Aeternus
Stone Legion Generals,8,0.03651,Aeternus
Shriekwing,0,0.97504,Special Snowflakes
Huntsman Altimor,1,0.84445,Special Snowflakes
Hungering Destroyer,2,4.97624,Special Snowflakes
Sun King's Salvation,3,1.69011,Special Snowflakes
Artificer Xy'mox,4,0.05227,Special Snowflakes
Lady Inerva Darkvein,5,3.48487,Special Snowflakes
Shriekwing,0,2.25571,Twisted Logic
Huntsman Altimor,1,0.90679,Twisted Logic
Hungering Destroyer,2,6.85112,Twisted Logic
Sun King's Salvation,3,0.03608,Twisted Logic
Shriekwing,0,0.94589,Composure
Huntsman Altimor,1,3.00725,Composure
Hungering Destroyer,2,0.53895,Composure
Sun King's Salvation,3,0.33477,Composure
Artificer Xy'mox,4,0.56789,Composure
Lady Inerva Darkvein,5,1.30512,Composure
The Council of Blood,6,9.23044,Composure
Sludgefist,7,15.74565,Composure
Stone Legion Generals,8,0.01073,Composure
Shriekwing,0,0.37487,Wanderlust
Huntsman Altimor,1,0.98233,Wanderlust
Hungering Destroyer,2,4.41608,Wanderlust
